Obs Polio Inter Ano Cos12 Sen12 Cos6 Sen6
"1" 0 1 1 0.866025403784439 0.5 0.5 0.866025403784439
"2" 1 1 2 0.5 0.866025403784439 -0.5 0.866025403784439
"3" 0 1 3 6.12303176911189e-17 1 -1 1.22460635382238e-16
"4" 0 1 4 -0.5 0.866025403784439 -0.5 -0.866025403784438
"5" 1 1 5 -0.866025403784439 0.5 0.5 -0.866025403784439
"6" 3 1 6 -1 1.22460635382238e-16 1 -2.44921270764475e-16
"7" 9 1 7 -0.866025403784439 -0.5 0.500000000000001 0.866025403784438
"8" 2 1 8 -0.5 -0.866025403784438 -0.499999999999999 0.866025403784439
"9" 3 1 9 -1.83690953073357e-16 -1 -1 3.67381906146713e-16
"10" 5 1 10 0.5 -0.866025403784439 -0.5 -0.866025403784439
"11" 3 1 11 0.866025403784438 -0.5 0.499999999999999 -0.866025403784439
"12" 5 1 12 1 -2.44921270764475e-16 1 -4.89842541528951e-16
"13" 2 1 13 0.866025403784439 0.5 0.5 0.866025403784439
"14" 2 1 14 0.500000000000001 0.866025403784438 -0.499999999999999 0.866025403784439
"15" 0 1 15 1.19433000815572e-15 1 -1 2.38866001631144e-15
"16" 1 1 16 -0.499999999999999 0.866025403784439 -0.500000000000002 -0.866025403784438
"17" 0 1 17 -0.866025403784439 0.5 0.5 -0.866025403784438
"18" 1 1 18 -1 3.67381906146713e-16 1 -7.34763812293426e-16
"19" 3 1 19 -0.866025403784439 -0.499999999999999 0.500000000000002 0.866025403784438
"20" 3 1 20 -0.5 -0.866025403784439 -0.5 0.866025403784438
"21" 2 1 21 -4.28612223837832e-16 -1 -1 8.57224447675664e-16
"22" 1 1 22 0.499999999999999 -0.866025403784439 -0.500000000000002 -0.866025403784438
"23" 1 1 23 0.866025403784438 -0.500000000000001 0.499999999999997 -0.86602540378444
"24" 5 1 24 1 -4.89842541528951e-16 1 -9.79685083057902e-16
"25" 0 1 25 0.866025403784438 0.500000000000001 0.499999999999999 0.866025403784439
"26" 3 1 26 0.5 0.866025403784439 -0.5 0.866025403784439
"27" 1 1 27 5.5107285922007e-16 1 -1 1.10214571844014e-15
"28" 0 1 28 -0.499999999999999 0.866025403784439 -0.500000000000002 -0.866025403784437
"29" 1 1 29 -0.866025403784439 0.5 0.5 -0.866025403784439
